npy_filepath,label,original_size,new_size,original_file_path,split
"train/1003370-16815-34851-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(247, 231)","(247, 231)","1.training/1003370-16815-34851-[1, 1, 0].png",train
"train/1200530-8060-10002-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(186, 196)","(186, 196)","1.training/1200530-8060-10002-[1, 1, 0].png",train
"train/1122944-31594-54592-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(240, 266)","(240, 266)","1.training/1122944-31594-54592-[0, 0, 1].png",train
"train/1021305-8795-31210-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(277, 171)","(277, 171)","1.training/1021305-8795-31210-[0, 0, 1].png",train
"train/1217322-42021-26391-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(272, 238)","(272, 238)","1.training/1217322-42021-26391-[1, 0, 0].png",train
"train/436219-35356-58287-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(268, 153)","(268, 153)","1.training/436219-35356-58287-[1, 1, 0].png",train
"train/1021408-12652-31025-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(222, 188)","(222, 188)","1.training/1021408-12652-31025-[1, 1, 0].png",train
"train/TCGA-MN-A4N4-01Z-00-DX1-32972-72563-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(288, 220)","(288, 220)","1.training/TCGA-MN-A4N4-01Z-00-DX1-32972-72563-[0, 1, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-53880-4910-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(165, 160)","(165, 160)","1.training/TCGA-49-4512-01Z-00-DX1-53880-4910-[0, 1, 0].png",train
"train/1222870-22007-13583-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(249, 216)","(249, 216)","1.training/1222870-22007-13583-[0, 0, 1].png",train
"train/1004276-52150-19277-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(177, 182)","(177, 182)","1.training/1004276-52150-19277-[1, 1, 0].png",train
"train/1125346-18087-18111-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(272, 286)","(272, 286)","1.training/1125346-18087-18111-[1, 1, 0].png",train
"train/1115189-29403-38362-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(212, 188)","(212, 188)","1.training/1115189-29403-38362-[0, 1, 0].png",train
"train/1200530-8862-25062-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(190, 169)","(190, 169)","1.training/1200530-8862-25062-[1, 0, 0].png",train
"train/1004470-9556-44263-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(226, 256)","(226, 256)","1.training/1004470-9556-44263-[1, 1, 0].png",train
"train/1111462-9017-27245-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(229, 285)","(229, 285)","1.training/1111462-9017-27245-[1, 1, 0].png",train
"train/1200164-12842-27121-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(259, 288)","(259, 288)","1.training/1200164-12842-27121-[1, 1, 0].png",train
"train/449636-38882-21003-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(249, 169)","(249, 169)","1.training/449636-38882-21003-[0, 0, 1].png",train
"train/TCGA-55-6983-01Z-00-DX1-30182-14564-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(250, 237)","(250, 237)","1.training/TCGA-55-6983-01Z-00-DX1-30182-14564-[0, 1, 0].png",train
"train/TCGA-97-8175-01Z-00-DX1-88613-28476-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(272, 190)","(272, 190)","1.training/TCGA-97-8175-01Z-00-DX1-88613-28476-[0, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-21913-21670-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(261, 189)","(261, 189)","1.training/TCGA-78-8662-01Z-00-DX1-21913-21670-[0, 1, 0].png",train
"train/1115849-12555-22783-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(267, 159)","(267, 159)","1.training/1115849-12555-22783-[1, 1, 0].png",train
"train/1203706-17192-26517-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(244, 262)","(244, 262)","1.training/1203706-17192-26517-[0, 1, 0].png",train
"train/1121244-46279-26798-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(215, 201)","(215, 201)","1.training/1121244-46279-26798-[1, 0, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-91164-32066-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(159, 248)","(159, 248)","1.training/TCGA-78-8662-01Z-00-DX1-91164-32066-[1, 1, 0].png",train
"train/1021305-32430-30567-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(193, 246)","(193, 246)","1.training/1021305-32430-30567-[0, 1, 0].png",train
"train/1205260-33376-10486-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(159, 150)","(159, 150)","1.training/1205260-33376-10486-[0, 0, 1].png",train
"train/TCGA-73-7498-01A-01-TS1-13946-5575-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(233, 230)","(233, 230)","1.training/TCGA-73-7498-01A-01-TS1-13946-5575-[1, 1, 0].png",train
"train/TCGA-55-6983-01Z-00-DX1-22975-8808-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(215, 183)","(215, 183)","1.training/TCGA-55-6983-01Z-00-DX1-22975-8808-[1, 0, 0].png",train
"train/TCGA-55-7570-01Z-00-DX1-6946-32545-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(187, 255)","(187, 255)","1.training/TCGA-55-7570-01Z-00-DX1-6946-32545-[1, 0, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-50729-55427-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(227, 297)","(227, 297)","1.training/TCGA-49-4512-01Z-00-DX1-50729-55427-[0, 1, 0].png",train
"train/TCGA-55-6981-01A-01-BS1-8922-12609-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(249, 204)","(249, 204)","1.training/TCGA-55-6981-01A-01-BS1-8922-12609-[1, 1, 0].png",train
"train/1004276-40065-34813-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(273, 283)","(273, 283)","1.training/1004276-40065-34813-[0, 1, 0].png",train
"train/1109944-20356-45289-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(253, 224)","(253, 224)","1.training/1109944-20356-45289-[1, 1, 0].png",train
"train/1004276-51979-17597-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(282, 162)","(282, 162)","1.training/1004276-51979-17597-[1, 1, 0].png",train
"train/440682-40005-21701-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(215, 186)","(215, 186)","1.training/440682-40005-21701-[1, 1, 0].png",train
"train/1205260-24402-23324-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(157, 225)","(157, 225)","1.training/1205260-24402-23324-[1, 1, 0].png",train
"train/1003370-22407-40194-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(284, 234)","(284, 234)","1.training/1003370-22407-40194-[0, 1, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-58883-42448-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(176, 275)","(176, 275)","1.training/TCGA-49-4512-01Z-00-DX1-58883-42448-[1, 0, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-24253-7728-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(158, 190)","(158, 190)","1.training/TCGA-67-6217-01A-01-TS1-24253-7728-[0, 1, 0].png",train
"train/1121244-34349-23706-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(154, 216)","(154, 216)","1.training/1121244-34349-23706-[1, 1, 0].png",train
"train/TCGA-97-8175-01Z-00-DX1-51239-34574-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(162, 226)","(162, 226)","1.training/TCGA-97-8175-01Z-00-DX1-51239-34574-[1, 1, 0].png",train
"train/440682-30560-17297-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(174, 191)","(174, 191)","1.training/440682-30560-17297-[1, 1, 0].png",train
"train/440930-33549-26576-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(211, 153)","(211, 153)","1.training/440930-33549-26576-[1, 0, 0].png",train
"train/1200530-12070-12010-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(269, 161)","(269, 161)","1.training/1200530-12070-12010-[1, 1, 0].png",train
"train/1203706-21444-34117-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(240, 213)","(240, 213)","1.training/1203706-21444-34117-[1, 1, 0].png",train
"train/1224965-21573-34731-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(151, 239)","(151, 239)","1.training/1224965-21573-34731-[1, 1, 0].png",train
"train/1209559-14634-13285-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(258, 281)","(258, 281)","1.training/1209559-14634-13285-[1, 1, 0].png",train
"train/1121244-46279-28344-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(190, 259)","(190, 259)","1.training/1121244-46279-28344-[1, 0, 0].png",train
"train/1121662-17264-59728-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(276, 292)","(276, 292)","1.training/1121662-17264-59728-[1, 1, 0].png",train
"train/TCGA-99-7458-01A-01-BS1-27626-30863-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(224, 206)","(224, 206)","1.training/TCGA-99-7458-01A-01-BS1-27626-30863-[1, 1, 0].png",train
"train/1218745-49621-33178-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(257, 265)","(257, 265)","1.training/1218745-49621-33178-[1, 0, 0].png",train
"train/447079-23064-17618-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(197, 216)","(197, 216)","1.training/447079-23064-17618-[1, 1, 0].png",train
"train/1031280-9092-24477-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(279, 229)","(279, 229)","1.training/1031280-9092-24477-[1, 1, 0].png",train
"train/1031280-31166-36021-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(172, 193)","(172, 193)","1.training/1031280-31166-36021-[1, 1, 0].png",train
"train/1117906-34822-44275-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(179, 164)","(179, 164)","1.training/1117906-34822-44275-[0, 0, 1].png",train
"train/1208248-35467-8911-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(290, 154)","(290, 154)","1.training/1208248-35467-8911-[1, 1, 0].png",train
"train/446242-22473-56889-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(225, 234)","(225, 234)","1.training/446242-22473-56889-[1, 1, 0].png",train
"train/1209559-21604-22855-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(182, 205)","(182, 205)","1.training/1209559-21604-22855-[1, 1, 0].png",train
"train/1003370-18679-20603-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(255, 225)","(255, 225)","1.training/1003370-18679-20603-[1, 1, 0].png",train
"train/1115849-31979-17288-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(262, 190)","(262, 190)","1.training/1115849-31979-17288-[0, 1, 0].png",train
"train/1021305-9411-35473-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(231, 220)","(231, 220)","1.training/1021305-9411-35473-[0, 0, 1].png",train
"train/1200530-6456-5986-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(172, 264)","(172, 264)","1.training/1200530-6456-5986-[1, 1, 0].png",train
"train/1115849-40268-39639-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(288, 233)","(288, 233)","1.training/1115849-40268-39639-[1, 1, 0].png",train
"train/1021305-7563-31210-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(232, 288)","(232, 288)","1.training/1021305-7563-31210-[0, 0, 1].png",train
"train/TCGA-67-6217-01A-01-TS1-19123-17253-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(278, 158)","(278, 158)","1.training/TCGA-67-6217-01A-01-TS1-19123-17253-[0, 1, 0].png",train
"train/1109944-20356-45951-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(266, 222)","(266, 222)","1.training/1109944-20356-45951-[1, 1, 0].png",train
"train/TCGA-53-A4EZ-01Z-00-DX1-102383-68544-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(259, 245)","(259, 245)","1.training/TCGA-53-A4EZ-01Z-00-DX1-102383-68544-[1, 1, 0].png",train
"train/1004470-11387-15907-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(246, 173)","(246, 173)","1.training/1004470-11387-15907-[1, 1, 0].png",train
"train/446242-3839-20492-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(267, 164)","(267, 164)","1.training/446242-3839-20492-[1, 1, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-13997-41095-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(179, 295)","(179, 295)","1.training/TCGA-49-4512-01Z-00-DX1-13997-41095-[0, 0, 1].png",train
"train/1138508-11469-19027-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(194, 170)","(194, 170)","1.training/1138508-11469-19027-[0, 1, 0].png",train
"train/436219-9328-53637-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(224, 181)","(224, 181)","1.training/436219-9328-53637-[1, 1, 0].png",train
"train/1138508-14065-17425-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(228, 211)","(228, 211)","1.training/1138508-14065-17425-[1, 1, 0].png",train
"train/1021305-39915-48657-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(298, 266)","(298, 266)","1.training/1021305-39915-48657-[1, 0, 0].png",train
"train/1031280-31166-20148-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(278, 293)","(278, 293)","1.training/1031280-31166-20148-[1, 1, 0].png",train
"train/1031280-7394-30249-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(274, 210)","(274, 210)","1.training/1031280-7394-30249-[1, 1, 0].png",train
"train/1223954-16373-17131-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(230, 231)","(230, 231)","1.training/1223954-16373-17131-[1, 0, 0].png",train
"train/1021305-6331-41563-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(167, 161)","(167, 161)","1.training/1021305-6331-41563-[0, 0, 1].png",train
"train/1224965-29481-45581-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(262, 243)","(262, 243)","1.training/1224965-29481-45581-[1, 1, 0].png",train
"train/440682-36227-29408-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(151, 219)","(151, 219)","1.training/440682-36227-29408-[1, 1, 0].png",train
"train/1115849-17411-10694-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(165, 161)","(165, 161)","1.training/1115849-17411-10694-[0, 1, 0].png",train
"train/1117906-25472-15509-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(161, 294)","(161, 294)","1.training/1117906-25472-15509-[0, 1, 0].png",train
"train/TCGA-MN-A4N4-01Z-00-DX1-63359-24909-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(252, 236)","(252, 236)","1.training/TCGA-MN-A4N4-01Z-00-DX1-63359-24909-[1, 1, 0].png",train
"train/449636-30881-59320-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(171, 209)","(171, 209)","1.training/449636-30881-59320-[1, 1, 0].png",train
"train/1032888-28919-17987-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(157, 171)","(157, 171)","1.training/1032888-28919-17987-[0, 0, 1].png",train
"train/1115849-17411-15090-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(252, 243)","(252, 243)","1.training/1115849-17411-15090-[1, 1, 0].png",train
"train/1023348-14882-35787-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(269, 213)","(269, 213)","1.training/1023348-14882-35787-[1, 1, 0].png",train
"train/TCGA-55-6983-01Z-00-DX1-10633-39769-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(268, 265)","(268, 265)","1.training/TCGA-55-6983-01Z-00-DX1-10633-39769-[0, 1, 0].png",train
"train/1004470-39615-28298-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(167, 184)","(167, 184)","1.training/1004470-39615-28298-[0, 0, 1].png",train
"train/1031280-17582-38907-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(222, 275)","(222, 275)","1.training/1031280-17582-38907-[1, 1, 0].png",train
"train/440930-31421-26576-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(270, 186)","(270, 186)","1.training/440930-31421-26576-[1, 0, 0].png",train
"train/1004276-27830-47453-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(256, 238)","(256, 238)","1.training/1004276-27830-47453-[1, 1, 0].png",train
"train/1122944-43092-48099-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(204, 231)","(204, 231)","1.training/1122944-43092-48099-[0, 0, 1].png",train
"train/1031280-27770-4275-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(170, 257)","(170, 257)","1.training/1031280-27770-4275-[1, 1, 0].png",train
"train/1209559-18119-18505-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(154, 194)","(154, 194)","1.training/1209559-18119-18505-[1, 1, 0].png",train
"train/446242-3839-56889-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(253, 282)","(253, 282)","1.training/446242-3839-56889-[1, 1, 0].png",train
"train/1006595-33012-14982-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(242, 270)","(242, 270)","1.training/1006595-33012-14982-[0, 1, 0].png",train
"train/1032888-8321-34222-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(257, 248)","(257, 248)","1.training/1032888-8321-34222-[0, 1, 0].png",train
"train/1221636-28570-24457-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(162, 164)","(162, 164)","1.training/1221636-28570-24457-[0, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-51786-69390-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(271, 179)","(271, 179)","1.training/TCGA-78-8662-01Z-00-DX1-51786-69390-[1, 0, 0].png",train
"train/1125346-9042-22161-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(182, 205)","(182, 205)","1.training/1125346-9042-22161-[1, 1, 0].png",train
"train/1115849-36726-50306-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(282, 271)","(282, 271)","1.training/1115849-36726-50306-[1, 1, 0].png",train
"train/1208368-68741-46485-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(177, 270)","(177, 270)","1.training/1208368-68741-46485-[1, 1, 0].png",train
"train/440682-24893-28307-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(214, 163)","(214, 163)","1.training/440682-24893-28307-[1, 1, 0].png",train
"train/TCGA-99-7458-01A-01-BS1-9579-30145-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(253, 158)","(253, 158)","1.training/TCGA-99-7458-01A-01-BS1-9579-30145-[1, 1, 0].png",train
"train/1122944-41255-42060-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(187, 157)","(187, 157)","1.training/1122944-41255-42060-[1, 0, 0].png",train
"train/440930-46317-25504-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(257, 240)","(257, 240)","1.training/440930-46317-25504-[1, 1, 0].png",train
"train/1032888-4285-29758-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(239, 300)","(239, 300)","1.training/1032888-4285-29758-[0, 1, 0].png",train
"train/449636-13745-37830-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(241, 259)","(241, 259)","1.training/449636-13745-37830-[0, 1, 0].png",train
"train/436219-18004-49917-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(281, 288)","(281, 288)","1.training/436219-18004-49917-[1, 1, 0].png",train
"train/1200530-12872-27070-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(274, 203)","(274, 203)","1.training/1200530-12872-27070-[1, 1, 0].png",train
"train/1125346-9042-4341-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(180, 151)","(180, 151)","1.training/1125346-9042-4341-[0, 1, 0].png",train
"train/1224965-39366-45581-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(196, 293)","(196, 293)","1.training/1224965-39366-45581-[1, 0, 0].png",train
"train/1005919-27301-52012-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(271, 290)","(271, 290)","1.training/1005919-27301-52012-[1, 1, 0].png",train
"train/1021305-17460-26547-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(274, 162)","(274, 162)","1.training/1021305-17460-26547-[1, 0, 0].png",train
"train/447079-28036-60108-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(183, 181)","(183, 181)","1.training/447079-28036-60108-[0, 0, 1].png",train
"train/1224965-33435-41241-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(295, 287)","(295, 287)","1.training/1224965-33435-41241-[1, 0, 0].png",train
"train/1122944-45877-33920-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(201, 153)","(201, 153)","1.training/1122944-45877-33920-[1, 0, 0].png",train
"train/440930-27165-20144-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(218, 241)","(218, 241)","1.training/440930-27165-20144-[1, 1, 0].png",train
"train/449636-42694-25629-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(180, 204)","(180, 204)","1.training/449636-42694-25629-[0, 0, 1].png",train
"train/449636-22994-10602-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(165, 238)","(165, 238)","1.training/449636-22994-10602-[0, 0, 1].png",train
"train/1209158-31471-17411-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(150, 246)","(150, 246)","1.training/1209158-31471-17411-[1, 1, 0].png",train
"train/1031280-22676-20148-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(168, 269)","(168, 269)","1.training/1031280-22676-20148-[1, 1, 0].png",train
"train/TCGA-55-1594-01Z-00-DX1-45316-23616-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(196, 269)","(196, 269)","1.training/TCGA-55-1594-01Z-00-DX1-45316-23616-[1, 1, 0].png",train
